total_model_parameters,epochs,batch_size,max_lr,min_lr,anneal_perc,max_mom,min_mom,time_taken,train_acc,test_acc,wd,train_loss,test_loss,runs,log_time,comments
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.8949406147003174,0.12,0.08,0.0005,2.4497039031982424,2.4202957916259766,"{'epoch': [1, 2], 'time': [1.951538324356079, 3.8918092250823975], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.12], 'test_acc': [0.14, 0.08], 'train_loss': [2.4412388610839844, 2.4497039031982424], 'test_loss': [2.4923602294921876, 2.4202957916259766]}",2019-09-02 07:28:43, 
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.618414878845215,0.12,0.06,0.0005,2.3666600036621093,2.4206141662597656,"{'epoch': [1, 2], 'time': [1.8852365016937256, 3.614891529083252], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.1, 0.12], 'test_acc': [0.04, 0.06], 'train_loss': [2.432262954711914, 2.3666600036621093], 'test_loss': [2.552134246826172, 2.4206141662597656]}",2019-09-02 07:28:47,S
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.6008827686309814,0.1,0.1,0.0005,2.5665644073486327,2.4098074340820315,"{'epoch': [1, 2], 'time': [1.9254395961761475, 3.597841262817383], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.1], 'test_acc': [0.12, 0.1], 'train_loss': [2.6123333740234376, 2.5665644073486327], 'test_loss': [2.518676986694336, 2.4098074340820315]}",2019-09-02 07:28:50,E
343264,2,16,0.4,1e-06,0.15,0.95,0.8,4.0021889209747314,0.08,0.08,0.0005,2.3257437133789063,2.3614405822753906,"{'epoch': [1, 2], 'time': [2.1873159408569336, 3.999392032623291], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.1, 0.08], 'test_acc': [0.08, 0.08], 'train_loss': [2.2755278015136717, 2.3257437133789063], 'test_loss': [2.401296310424805, 2.3614405822753906]}",2019-09-02 07:28:54,A
343264,2,16,0.4,1e-06,0.15,0.95,0.8,4.2087342739105225,0.1,0.16,0.0005,2.517103271484375,2.3923565673828127,"{'epoch': [1, 2], 'time': [2.1101877689361572, 4.205584764480591], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.1], 'test_acc': [0.14, 0.16], 'train_loss': [2.451887512207031, 2.517103271484375], 'test_loss': [2.4387429046630857, 2.3923565673828127]}",2019-09-02 07:28:59,R
343264,2,16,0.4,1e-06,0.15,0.95,0.8,4.100322484970093,0.06,0.06,0.0005,2.4007564544677735,2.414232635498047,"{'epoch': [1, 2], 'time': [2.0867481231689453, 4.0970025062561035], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.06, 0.06], 'test_acc': [0.06, 0.06], 'train_loss': [2.5178958129882814, 2.4007564544677735], 'test_loss': [2.4594670867919923, 2.414232635498047]}",2019-09-02 07:29:03,C
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.759477376937866,0.14,0.08,0.0005,2.4179566955566405,2.456921615600586,"{'epoch': [1, 2], 'time': [1.8828458786010742, 3.7555978298187256], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.08, 0.14], 'test_acc': [0.08, 0.08], 'train_loss': [2.502860412597656, 2.4179566955566405], 'test_loss': [2.5415516662597657, 2.456921615600586]}",2019-09-02 07:29:07,H
343264,2,16,0.4,1e-06,0.15,0.95,0.8,4.153333902359009,0.18,0.1,0.0005,2.3008023071289063,2.3383612060546874,"{'epoch': [1, 2], 'time': [1.9150238037109375, 4.148458957672119], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.08, 0.18], 'test_acc': [0.1, 0.1], 'train_loss': [2.4321243286132814, 2.3008023071289063], 'test_loss': [2.375077819824219, 2.3383612060546874]}",2019-09-02 07:29:11, 
343264,2,16,0.4,1e-06,0.15,0.95,0.8,4.475380182266235,0.18,0.08,0.0005,2.3044510650634766,2.3376292419433593,"{'epoch': [1, 2], 'time': [2.4791884422302246, 4.472208261489868], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.06, 0.18], 'test_acc': [0.12, 0.08], 'train_loss': [2.4408600616455076, 2.3044510650634766], 'test_loss': [2.3642850494384766, 2.3376292419433593]}",2019-09-02 07:29:15,R
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.461301326751709,0.16,0.04,0.0005,2.370409164428711,2.4039878845214844,"{'epoch': [1, 2], 'time': [1.8282949924468994, 3.4580979347229004], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.06, 0.16], 'test_acc': [0.04, 0.04], 'train_loss': [2.4404564666748048, 2.370409164428711], 'test_loss': [2.4938414764404295, 2.4039878845214844]}",2019-09-02 07:29:19,U
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.8753957748413086,0.02,0.14,0.0005,2.5240626525878906,2.3211651611328126,"{'epoch': [1, 2], 'time': [2.2028379440307617, 3.8720288276672363], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.08, 0.02], 'test_acc': [0.14, 0.14], 'train_loss': [2.396266098022461, 2.5240626525878906], 'test_loss': [2.3676300048828125, 2.3211651611328126]}",2019-09-02 07:29:23,N
343264,2,16,0.4,1e-06,0.15,0.95,0.8,3.6443984508514404,0.1,0.04,0.0005,2.563440170288086,2.3761746978759763,"{'epoch': [1, 2], 'time': [1.9867007732391357, 3.6405179500579834], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.14, 0.1], 'test_acc': [0.04, 0.04], 'train_loss': [2.5457183837890627, 2.563440170288086], 'test_loss': [2.418570861816406, 2.3761746978759763]}",2019-09-02 07:29:26,S
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.5259616374969482,0.06,0.04,0.0005,2.353652572631836,2.3673175048828123,"{'epoch': [1, 2], 'time': [1.8734264373779297, 3.51975154876709], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.06], 'test_acc': [0.02, 0.04], 'train_loss': [2.316761474609375, 2.353652572631836], 'test_loss': [2.4112187957763673, 2.3673175048828123]}",2019-09-02 07:29:30,G
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.4933409690856934,0.16,0.08,0.0005,2.3166498565673828,2.4216325378417967,"{'epoch': [1, 2], 'time': [1.8617751598358154, 3.4900970458984375], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.16], 'test_acc': [0.04, 0.08], 'train_loss': [2.391944351196289, 2.3166498565673828], 'test_loss': [2.5124547576904295, 2.4216325378417967]}",2019-09-02 07:29:33,R
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.4998035430908203,0.1,0.04,0.0005,2.5167588806152343,2.3754647827148436,"{'epoch': [1, 2], 'time': [1.8218603134155273, 3.495840072631836], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.1], 'test_acc': [0.04, 0.04], 'train_loss': [2.4628739166259765, 2.5167588806152343], 'test_loss': [2.4524820709228514, 2.3754647827148436]}",2019-09-02 07:29:37,I
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.6104602813720703,0.1,0.14,0.0005,2.3869136810302733,2.3639966583251955,"{'epoch': [1, 2], 'time': [1.885819911956787, 3.607731819152832], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.02, 0.1], 'test_acc': [0.1, 0.14], 'train_loss': [2.533538055419922, 2.3869136810302733], 'test_loss': [2.4340714263916015, 2.3639966583251955]}",2019-09-02 07:29:41,D
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.511704683303833,0.14,0.08,0.0005,2.5094658660888673,2.4511643981933595,"{'epoch': [1, 2], 'time': [1.8187777996063232, 3.505187749862671], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.14], 'test_acc': [0.08, 0.08], 'train_loss': [2.719573211669922, 2.5094658660888673], 'test_loss': [2.544985504150391, 2.4511643981933595]}",2019-09-02 07:29:44, 
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.4879705905914307,0.06,0.14,0.0005,2.5722114562988283,2.3442996978759765,"{'epoch': [1, 2], 'time': [1.8384895324707031, 3.484048843383789], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.06], 'test_acc': [0.16, 0.14], 'train_loss': [2.387159729003906, 2.5722114562988283], 'test_loss': [2.407241439819336, 2.3442996978759765]}",2019-09-02 07:29:48,S
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.448748826980591,0.04,0.1,0.0005,2.577373504638672,2.2927515411376955,"{'epoch': [1, 2], 'time': [1.8286361694335938, 3.4459280967712402], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.02, 0.04], 'test_acc': [0.1, 0.1], 'train_loss': [2.5851284790039064, 2.577373504638672], 'test_loss': [2.304726104736328, 2.2927515411376955]}",2019-09-02 07:29:51,E
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.4365291595458984,0.12,0.1,0.0005,2.321280670166016,2.3237361907958984,"{'epoch': [1, 2], 'time': [1.7936975955963135, 3.433633327484131], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.12], 'test_acc': [0.08, 0.1], 'train_loss': [2.3363709259033203, 2.321280670166016], 'test_loss': [2.3264955139160155, 2.3237361907958984]}",2019-09-02 07:29:55,A
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.4503660202026367,0.16,0.14,0.0005,2.3983710479736327,2.3115343475341796,"{'epoch': [1, 2], 'time': [1.8257625102996826, 3.4475467205047607], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.04, 0.16], 'test_acc': [0.1, 0.14], 'train_loss': [2.5653233337402344, 2.3983710479736327], 'test_loss': [2.3783719635009763, 2.3115343475341796]}",2019-09-02 07:29:58,R
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.437509059906006,0.06,0.04,0.0005,2.5170561981201174,2.3748765563964844,"{'epoch': [1, 2], 'time': [1.8054099082946777, 3.4333784580230713], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.06], 'test_acc': [0.08, 0.04], 'train_loss': [2.592291946411133, 2.5170561981201174], 'test_loss': [2.4518278503417967, 2.3748765563964844]}",2019-09-02 07:30:02,C
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.43607497215271,0.1,0.14,0.0005,2.461175537109375,2.3793531799316407,"{'epoch': [1, 2], 'time': [1.817530870437622, 3.433100461959839], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.18, 0.1], 'test_acc': [0.14, 0.14], 'train_loss': [2.3012146759033203, 2.461175537109375], 'test_loss': [2.428201217651367, 2.3793531799316407]}",2019-09-02 07:30:05,H
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.491772413253784,0.08,0.12,0.0005,2.369474868774414,2.3032183837890625,"{'epoch': [1, 2], 'time': [1.8190443515777588, 3.488347053527832], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.16, 0.08], 'test_acc': [0.14, 0.12], 'train_loss': [2.3745462036132814, 2.369474868774414], 'test_loss': [2.3311585998535156, 2.3032183837890625]}",2019-09-02 07:30:08, 
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.5103259086608887,0.04,0.18,0.0005,2.323802947998047,2.3427217864990233,"{'epoch': [1, 2], 'time': [1.8139469623565674, 3.5072312355041504], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.04], 'test_acc': [0.18, 0.18], 'train_loss': [2.4100860595703124, 2.323802947998047], 'test_loss': [2.365882339477539, 2.3427217864990233]}",2019-09-02 07:30:12,R
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.5449209213256836,0.1,0.14,0.0005,2.496836853027344,2.327475280761719,"{'epoch': [1, 2], 'time': [1.830988883972168, 3.5418667793273926], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.04, 0.1], 'test_acc': [0.12, 0.14], 'train_loss': [2.628334655761719, 2.496836853027344], 'test_loss': [2.351066665649414, 2.327475280761719]}",2019-09-02 07:30:16,U
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.5298941135406494,0.14,0.16,0.0005,2.3980216217041015,2.271109313964844,"{'epoch': [1, 2], 'time': [1.8054258823394775, 3.526113748550415], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.14], 'test_acc': [0.16, 0.16], 'train_loss': [2.4089529418945315, 2.3980216217041015], 'test_loss': [2.2920240783691406, 2.271109313964844]}",2019-09-02 07:30:19,N
343264,2,25,0.1,1e-06,0.15,0.95,0.8,3.441721200942993,0.12,0.08,0.0005,2.380607147216797,2.3444632720947265,"{'epoch': [1, 2], 'time': [1.8168976306915283, 3.4381604194641113], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.18, 0.12], 'test_acc': [0.08, 0.08], 'train_loss': [2.3296540069580076, 2.380607147216797], 'test_loss': [2.3755870056152344, 2.3444632720947265]}",2019-09-02 07:30:23,S
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.5929789543151855,0.1,0.14,0.0005,2.337348709106445,2.3335506439208986,"{'epoch': [1, 2], 'time': [1.881485939025879, 3.5901386737823486], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.08, 0.1], 'test_acc': [0.14, 0.14], 'train_loss': [2.4645068359375, 2.337348709106445], 'test_loss': [2.3702387237548828, 2.3335506439208986]}",2019-09-02 07:30:26,G
